;customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
3086;3853-LYGAM;Male;0;No;No;17;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);95.65;1640
4779;0480-BIXDE;Female;0;Yes;No;19;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;96.8;1743.05
3205;3810-DVDQQ;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);117.6;8308.9
6928;5306-BVTKJ;Male;0;Yes;Yes;48;Yes;No;DSL;No;Yes;Yes;No;No;No;One year;Yes;Credit card (automatic);55.8;2651.2
4645;5219-YIPTK;Female;0;Yes;No;33;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;104.4;3409.6
3151;7993-NQLJE;Male;0;Yes;Yes;15;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;75.1;1151.55
4085;5640-CAXOA;Female;0;No;No;30;No;No phone service;DSL;No;No;No;Yes;No;Yes;One year;Yes;Credit card (automatic);40.35;1187.05
5764;0716-BQNDX;Male;1;No;No;57;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;Yes;Two year;No;Electronic check;93.75;5625.55
2183;6844-DZKRF;Male;0;No;No;2;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);50.2;109.25
5853;9114-VEPUF;Male;0;Yes;No;62;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;One year;No;Electronic check;96.1;6001.45
5552;6072-NUQCB;Male;0;Yes;Yes;22;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);20.25;488.25
2378;2884-GBPFB;Female;0;Yes;No;35;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70.3;2416.55
6525;2400-FEQME;Male;0;Yes;Yes;55;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.5;1177.95
523;6825-UYPFK;Female;0;No;No;23;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);75.6;1758.6
5664;0875-CABNR;Female;1;No;No;10;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Credit card (automatic);84.6;865.55
1732;9705-IOVQQ;Male;1;Yes;Yes;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Electronic check;99.0;5969.3
1318;1907-YLNYW;Male;0;No;No;8;Yes;No;DSL;Yes;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;66.7;579
5280;6574-MCOEH;Female;0;Yes;Yes;33;Yes;Yes;DSL;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;79.15;2531.4
3336;8380-MQINP;Female;0;Yes;Yes;55;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.3;1079.05
1218;7979-CORPM;Male;0;No;No;24;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);90.55;2282.55
3411;7056-IMHCC;Male;1;Yes;No;53;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;101.9;5549.4
5133;6892-XPFPU;Male;1;Yes;No;24;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;104.25;2433.9
2284;8963-JLGJT;Male;0;No;Yes;3;Yes;No;DSL;Yes;No;Yes;No;No;No;Month-to-month;No;Mailed check;55.9;157.55
5812;3422-LYEPQ;Male;0;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;71.0;71
1792;8401-EMUWF;Male;0;Yes;Yes;42;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);69.4;3058.3
6730;1272-ILHFG;Male;0;Yes;Yes;15;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.65;332.65
803;3174-AKMAS;Female;0;Yes;No;46;Yes;No;DSL;No;Yes;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);64.2;3009.5
5807;8464-EETCQ;Male;0;No;No;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);18.8;1094.35
2021;0181-RITDD;Male;0;Yes;Yes;62;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;108.15;6825.65
5796;8571-ZCMCX;Female;0;Yes;Yes;47;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);60.0;2768.65
5666;8318-LCNBW;Male;0;Yes;No;35;No;No phone service;DSL;Yes;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);53.15;1930.9
4730;7813-ZGGAW;Male;1;No;No;31;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;Month-to-month;Yes;Bank transfer (automatic);96.6;2877.95
3465;2831-EBWRN;Male;0;No;No;4;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;45.9;199.75
4831;4654-GGUII;Female;0;No;No;18;No;No phone service;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Mailed check;40.2;711.95
4623;8755-IWJHN;Male;1;Yes;No;69;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);95.35;6382
1901;5777-ZPQNC;Female;0;No;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;20.15;260.7
1380;1131-SUEKT;Male;0;Yes;Yes;61;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);98.45;6145.2
1083;9878-TNQGW;Male;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;80.95;171.15
6395;3058-HJCUY;Male;0;Yes;Yes;41;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;102.6;4213.35
5647;7502-BNYGS;Female;0;Yes;No;46;Yes;No;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);69.1;3168
4310;8908-NMQTX;Male;0;No;No;72;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);65.6;4566.5
1573;5014-WUQMG;Male;0;Yes;Yes;47;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;Yes;One year;Yes;Electronic check;96.1;4391.45
3299;4282-MSACW;Male;0;No;No;68;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);117.2;8035.95
1118;6891-JPYFF;Female;0;Yes;Yes;48;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);105.25;4997.5
4720;8979-CAMGB;Male;1;No;No;64;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;102.1;6688.1
6691;8292-FRFZQ;Female;0;No;No;39;No;No phone service;DSL;Yes;Yes;No;Yes;No;No;One year;No;Bank transfer (automatic);41.15;1700.9
5097;8547-NSBBO;Male;0;No;No;35;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;96.75;3403.4
5396;5627-TVBPP;Female;0;No;Yes;35;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);20.1;644.5
2976;4830-FAXFM;Male;0;No;Yes;19;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);24.1;439.2
2957;2674-MIAHT;Female;0;No;No;4;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;80.3;324.2
340;6035-BXTTY;Female;1;No;No;32;Yes;No;DSL;No;Yes;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);54.65;1830.1
3535;3612-YUNGG;Male;0;Yes;Yes;64;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);109.2;6741.15
1048;2829-HYVZP;Male;0;No;No;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;19.8;572.2
6233;6394-HHHZM;Male;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.7;57.5
1933;1964-SVLEA;Male;0;No;No;20;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;19.7;415.9
1482;9290-SHCMB;Female;1;No;No;13;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;96.85;1235.55
4196;6963-KQYQB;Female;0;Yes;Yes;70;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;24.05;1764.75
6621;6762-NSODU;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19.4;958.15
5147;7622-NXQZR;Male;0;No;No;28;No;No phone service;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);30.1;810.85
2395;6486-LHTMA;Female;1;Yes;No;31;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;One year;Yes;Electronic check;90.7;2835.5
558;2501-XWWTZ;Male;0;No;No;11;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;70.2;760.05
2058;0744-BIKKF;Male;0;No;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);86.65;6224.8
1003;8917-FAEMR;Female;0;No;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.85;784.25
3680;0836-SEYLU;Male;0;Yes;No;9;No;No phone service;DSL;No;No;No;Yes;Yes;No;Month-to-month;No;Mailed check;40.65;328.95
1286;8985-OOPOS;Female;0;No;No;1;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);74.1;74.1
6079;9881-VCZEP;Female;0;Yes;No;25;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;54.1;1373
6630;1226-IENZN;Male;1;No;No;16;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;78.75;1218.25
5511;6586-MYGKD;Male;0;Yes;No;70;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);76.95;5289.8
6278;7208-PSIHR;Female;0;Yes;No;70;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);104.3;7188.5
6508;8708-XPXHZ;Female;0;Yes;Yes;42;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94.2;4186.3
3230;8043-PNYSD;Male;0;Yes;Yes;63;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.55;1245.6
609;3419-SNJJD;Female;1;Yes;No;65;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);105.25;6786.4
6962;0886-QGENL;Female;1;Yes;No;27;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;101.25;2754.45
6707;2452-MRMZF;Female;1;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);25.7;1937.4
418;0578-SKVMF;Female;0;Yes;Yes;22;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Electronic check;83.3;1845.9
3676;2364-UFROM;Male;0;No;No;30;Yes;No;DSL;Yes;Yes;No;Yes;Yes;No;One year;No;Electronic check;70.4;2044.75
2425;0142-GVYSN;Male;0;No;No;26;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;20.3;511.25
5190;3001-UNBTL;Male;1;Yes;Yes;29;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103.95;2964.8
5461;1221-GHZEP;Female;0;No;No;62;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Two year;Yes;Mailed check;65.1;3846.75
5756;6349-JDHQP;Female;0;No;No;53;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19.85;1049.6
1704;0107-YHINA;Male;0;No;Yes;1;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.75;99.75
6626;3319-DWOEP;Male;1;Yes;No;6;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;95.75;573.75
1101;4712-UYOOI;Female;0;Yes;Yes;20;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;20.0;417.65
4539;4355-HBJHH;Male;0;Yes;Yes;67;Yes;Yes;DSL;Yes;No;Yes;No;Yes;Yes;Two year;Yes;Electronic check;79.7;5293.4
4020;4334-HOWRP;Male;1;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);64.95;4546
6997;2523-EWWZL;Female;0;Yes;No;27;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;76.1;2093.4
1290;3108-PCCGG;Male;1;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;No;Credit card (automatic);84.45;5899.85
1325;7206-GZCDC;Female;1;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.25;69.25
2913;6203-HBZPA;Male;0;No;No;52;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);63.9;3334.95
329;2739-CACDQ;Female;1;No;No;17;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);82.65;1470.05
5837;2969-QWUBZ;Female;0;No;No;2;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;No;Electronic check;51.4;96.8
2671;4191-XOVOM;Male;0;No;No;63;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Month-to-month;No;Electronic check;105.4;6713.2
1969;5110-CHOPY;Female;0;No;No;60;No;No phone service;DSL;Yes;No;Yes;No;Yes;Yes;Two year;No;Electronic check;53.6;3237.05
3697;4821-SJHJV;Female;0;Yes;Yes;32;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;No;Electronic check;89.6;2901.8
5362;0485-ZBSLN;Male;0;Yes;Yes;65;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24.75;1715.1
6499;2676-ISHSF;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.3;20.3
3530;1703-MGIAB;Female;0;No;No;17;Yes;Yes;DSL;No;No;Yes;Yes;Yes;No;Month-to-month;Yes;Mailed check;69.0;1108
2202;5931-FLJJF;Male;1;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70.1;467.55
5767;1972-XMUWV;Female;0;Yes;No;65;Yes;No;DSL;No;No;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);59.8;3808.2
2803;1985-MBRYP;Female;0;No;No;43;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);19.65;779.25
1522;5766-XQXMQ;Female;0;No;No;29;Yes;No;DSL;Yes;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);68.85;1970.5
6383;2335-GSODA;Male;0;No;Yes;23;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;Two year;No;Mailed check;40.1;857.75
5962;3842-QTGDL;Male;0;Yes;No;16;Yes;No;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);80.75;1321.3
997;1374-DMZUI;Female;1;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94.3;424.45
2724;4636-TVXVG;Male;0;Yes;Yes;62;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19.95;1244.8
2952;5260-UMPWX;Female;0;Yes;Yes;26;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);20.25;493.95
6400;7921-BEPCI;Female;0;No;No;72;Yes;Yes;DSL;Yes;Yes;No;No;No;No;Two year;No;Bank transfer (automatic);59.75;4265
6429;6332-FBZRI;Male;0;Yes;Yes;67;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;One year;Yes;Credit card (automatic);69.35;4653.25
2316;9367-OIUXP;Male;0;No;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.7;73.05
444;1910-FMXJM;Female;0;Yes;No;36;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;80.4;2937.65
6845;6127-IYJOZ;Male;1;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;45.85;45.85
1566;4751-ERMAN;Male;0;Yes;Yes;72;Yes;No;DSL;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);75.4;5480.25
1910;6637-KYRCV;Female;0;Yes;Yes;5;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;30.5;167.2
7033;9767-FFLEM;Male;0;No;No;38;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);69.5;2625.25
1489;6543-JXSOO;Female;0;Yes;Yes;23;Yes;No;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Mailed check;57.75;1282.85
1457;6362-QHAFM;Male;0;Yes;No;42;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;108.3;4586.15
3177;1814-WFGVS;Male;0;Yes;Yes;72;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;No;Two year;No;Mailed check;48.9;3527
910;1907-UBQFC;Male;1;No;No;10;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;72.85;688.65
6354;3214-IYUUQ;Female;0;Yes;No;61;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;Yes;One year;No;Bank transfer (automatic);93.7;5860.7
3639;0512-FLFDW;Female;1;Yes;No;60;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);100.5;6029
4092;0670-KDOMA;Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20.25;20.25
6964;1264-FUHCX;Female;0;Yes;No;49;No;No phone service;DSL;No;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);56.3;2780.6
6020;0020-JDNXP;Female;0;Yes;Yes;34;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;61.25;1993.2
2491;1552-TKMXS;Female;0;Yes;No;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);20.35;869.9
338;7982-VCELR;Female;0;No;No;36;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);94.8;3565.65
6675;4186-ZBUEW;Female;0;No;No;36;Yes;Yes;DSL;No;Yes;No;Yes;No;Yes;One year;Yes;Mailed check;70.7;2511.95
2191;3988-RQIXO;Female;1;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;91.3;91.3
5202;8591-TKMZH;Male;0;Yes;Yes;59;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Mailed check;111.1;6555.2
2807;1015-JPFYW;Male;0;No;Yes;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.45;136.75
971;5002-GCQFH;Male;0;Yes;No;49;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);93.85;4733.1
6668;2832-KJCRD;Female;0;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;103.65;3988.5
1087;7241-AJHFS;Male;0;No;No;32;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);87.65;2766.4
6331;1929-ZCBHE;Male;0;Yes;Yes;47;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Electronic check;40.3;1794.8
1228;2040-VZIKE;Female;0;Yes;No;49;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;100.85;4847.35
891;3804-RVTGV;Male;0;Yes;Yes;50;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103.85;5017.9
6727;0749-IRGQE;Female;1;Yes;No;13;No;No phone service;DSL;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;45.3;528.45
6515;7016-BPGEU;Female;0;No;No;29;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);25.1;712.85
6136;3190-ITQXP;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.25;890.35
15;3655-SNQYZ;Female;0;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);113.25;7895.15
2768;1429-UYJSV;Female;0;No;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.7;260.9
4996;3557-HTYWR;Female;0;No;No;47;Yes;Yes;DSL;Yes;Yes;No;Yes;No;Yes;Two year;No;Mailed check;74.05;3496.3
4969;2303-PJYHN;Female;0;Yes;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19.85;52
4236;2542-HYGIQ;Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);19.95;19.95
